id,pred
1,-9.615673
2,-11.791672
3,-8.090784
4,-10.368514
5,-3.9258263
6,-3.2978709
7,-7.5031695
8,-19.923954
9,-31.084986
10,-0.69430923
11,-2.8311517
12,-25.691313
13,10.182017
14,-24.60237
15,2.775054
16,2.1111226
17,-7.5201044
18,-26.543268
19,-15.737849
20,5.6806006
21,6.4972777
22,-2.1038618
23,-16.473143
24,-14.002354
25,5.5391088
26,-17.419968
27,-20.515371
28,1.8413852
29,-14.680474
30,5.399154
31,-7.6563134
32,-21.60954
33,-15.44197
34,-14.903449
35,-9.722905
36,-1.2871367
37,-19.790665
38,-2.9121032
39,-13.826522
40,4.914792
41,-13.91963
42,-11.793906
43,-14.338752
44,-49.4639
45,5.8874364
46,13.5048895
47,-7.276129
48,7.842818
49,-24.819103
50,-7.5085263
51,4.2449627
52,2.4402852
53,-0.70201933
54,4.6586494
55,-25.833107
56,-17.751951
57,3.6079993
58,-3.8024702
59,-9.646003
60,-17.693933
61,-11.95173
62,3.1328368
63,-10.094712
64,-6.590422
65,-24.425344
66,12.030703
67,-1.5857424
68,-9.740174
69,-16.636145
70,8.8265705
71,-1.3662837
72,8.986203
73,-20.575436
74,-17.341309
75,11.913693
76,-4.3830094
77,-12.209778
78,-15.256915
79,7.593819
80,-14.915952
81,-43.05996
82,4.1583223
83,-4.9217253
84,-1.0492585
85,-16.602758
86,-27.458158
87,9.706689
88,-5.8722606
89,15.810218
90,-3.4395714
91,8.673895
92,-7.262906
93,-8.93719
94,3.6949286
95,3.892827
96,-36.74656
97,10.989148
98,-14.407193
99,-10.942882
100,-5.990948
101,-3.0539873
102,-21.287138
103,-1.9954219
104,-2.242158
105,6.1928363
106,-29.60956
107,-22.025568
108,9.777553
109,-6.367244
110,-34.879776
111,-16.124279
112,-12.73529
113,11.519331
114,0.8171884
115,15.628415
116,-12.67591
117,-8.6133375
118,-25.451262
119,-26.635622
120,-2.895111
121,-1.9823558
122,14.390415
123,7.407353
124,22.930552
125,7.7497907
126,-4.635168
127,-17.077646
128,-9.985586
129,-20.303251
130,-0.70100725
131,-7.4723616
132,-40.30432
133,-24.168179
134,-51.68322
135,7.0120826
136,-10.375658
137,10.744693
138,-7.9528565
139,22.016703
140,9.89638
141,-11.815831
142,-0.4861769
143,-8.173963
144,-11.303901
145,-31.5721
146,-25.248083
147,6.2021413
148,0.22737749
149,8.638264
150,-6.254037
151,-37.191788
152,-26.081255
153,-19.601225
154,5.9730105
155,-6.3425975
156,-9.989127
157,6.9240227
158,-16.573318
159,2.2308683
160,5.3289657
161,-31.288416
162,-7.1586614
163,18.811897
164,-2.1266458
165,19.67123
166,14.699779
167,6.8890986
168,2.2022593
169,-24.42608
170,1.8111461
171,-49.06055
172,19.778883
173,-20.028364
174,-32.614933
175,15.844386
176,-9.391532
177,16.550987
178,-32.28985
179,-37.46145
180,-22.17594
181,3.7365842
182,-1.1715435
183,-5.9498134
184,-0.23475738
185,-0.9356536
186,4.1868567
187,23.637383
188,-37.67175
189,6.3641047
190,13.740178
191,-8.360975
192,-8.799225
193,-0.7500641
194,20.601074
195,-23.058107
196,-57.376904
197,5.4218826
198,-13.816777
199,2.0890112
200,15.0554905
201,-9.133336
202,-11.732707
203,-0.835565
204,-57.02362
205,5.494332
206,-15.969586
207,8.3380995
208,-25.668583
209,-10.52641
210,-6.345279
211,9.245769
212,-9.152955
213,2.928998
214,-19.04717
215,1.658097
216,11.344207
217,-9.579818
218,11.49809
219,-3.7536705
220,1.6361836
221,-20.70527
222,13.5405
223,-41.30189
224,-5.1254716
225,13.960559
226,-2.1919138
227,12.7721615
228,-29.472103
229,-12.610886
230,-13.223859
231,21.50471
232,-23.807337
233,-12.065233
234,-2.921951
235,3.6468859
236,-35.745567
237,-4.8618298
238,14.016833
239,-8.559358
240,-1.093217
241,7.3030653
242,12.799189
243,-23.957932
244,-15.024213
245,3.5105367
246,-22.69296
247,11.198611
248,-6.8359747
249,-22.015001
250,-1.2322934
251,-9.170302
252,25.150232
253,7.9517646
254,-10.744582
255,0.43727022
256,-36.83374
257,29.140211
258,11.905284
259,9.540677
260,-38.752655
261,-10.463559
262,-32.43738
263,7.9904
264,7.394733
265,2.569993
266,-26.119417
267,-24.910528
268,-15.372224
269,24.390493
270,-29.481333
271,19.48235
272,4.950768
273,16.81537
274,-3.5301003
275,-19.22856
276,-14.955247
277,-23.647507
278,-14.725681
279,-25.57136
280,0.48016042
281,0.7270995
282,-30.742208
283,-28.410059
284,-12.983264
285,26.634296
286,-17.961393
287,-15.3841505
288,-6.2077947
289,-4.5568104
290,-15.376862
291,-21.503248
292,-17.58912
293,-20.3017
294,-17.178356
295,-15.184522
296,-3.8474193
297,7.8376837
298,6.4479237
299,-28.80107
300,4.922281
301,-18.217669
302,-32.044205
303,-35.1173
304,-12.520437
305,12.909472
306,8.610952
307,1.796355
308,-28.874226
309,-4.028365
310,-8.59929
311,-40.140182
312,4.6020055
313,-19.16128
314,-12.355927
315,-3.3080611
316,-19.270353
317,-19.30971
318,7.2520547
319,14.994128
320,24.530197
321,-12.917921
322,3.1928363
323,24.296202
324,1.9611309
325,-9.782224
326,-28.117743
327,-19.7816
328,-5.142407
329,-3.3020754
330,-21.910906
331,-11.450025
332,-34.062843
333,-13.088904
334,-12.083341
335,-0.52820265
336,19.8253
337,-1.6232742
338,9.056614
339,9.758595
340,1.6587204
341,-19.731092
342,11.125546
343,31.221182
344,-11.620076
345,-10.674576
346,-20.791914
347,-3.6812925
348,-14.088716
349,-1.9085251
350,-11.647935
351,-4.3631873
352,-11.977696
353,-31.375154
354,-44.94168
355,-44.850533
356,-7.7908087
357,-3.1016068
358,6.5916266
359,12.081341
360,-12.437518
361,-10.78628
362,-28.08671
363,-22.534754
364,5.5395055
365,-33.955673
366,-28.953676
367,5.215602
368,-22.313894
369,-47.980072
370,-2.528659
371,-7.37677
372,-2.1733963
373,-7.0585103
374,-4.944553
375,31.403448
376,-14.578171
377,-30.051497
378,15.004369
379,-0.8819157
380,6.3192267
381,-7.074553
382,20.293394
383,18.708994
384,-26.695864
385,11.32982
386,-14.227088
387,-18.956312
388,36.52774
389,-4.838961
390,30.855455
391,-23.119398
392,9.3067045
393,-2.8848054
394,-64.01975
395,13.118153
396,10.608865
397,-14.557195
398,-23.830187
399,9.297709
400,-8.875872
401,10.516883
402,-31.963537
403,-17.560898
404,-5.955789
405,-5.370565
406,-4.2432284
407,-28.35723
408,15.969277
409,10.7513
410,-18.647345
411,11.746659
412,-24.395483
413,33.911236
414,4.395601
415,10.168157
416,37.32646
417,18.768269
418,-0.42214292
419,-11.896228
420,-8.5368595
421,9.067771
422,-18.759392
423,11.769283
424,-5.7869725
425,-23.468735
426,-0.53135633
427,7.252333
428,11.5059595
429,-2.2768345
430,-11.588439
431,19.15697
432,-14.561821
433,-27.93226
434,6.0660815
435,4.453978
436,-2.7094963
437,-8.668842
438,-15.997704
439,-19.096716
440,-12.560463
441,-4.650669
442,-6.563259
443,-7.637743
444,4.5618906
445,16.508602
446,-14.72503
447,-17.482141
448,-12.719079
449,3.9116578
450,21.565105
451,-30.881708
452,-8.3770485
453,2.1303096
454,-13.1044
455,-26.252764
456,-4.5141563
457,5.7538757
458,-18.878374
459,-12.838849
460,-36.874527
461,-19.021719
